"","Type","Periode","Antal","Yearly_price","QALY","total_yearly_price","total_yearly_QALY","diskontering","TYP_disc","QALY_disc","markov","perspektiv"
"1","Dead",0,0,356475.154013369,0,0,0,1,0,0,"Transplant","Samfund"
"2","Dead",1,179.732836965127,356475.154013369,0,64070290.7384032,0,0.970873786407767,62204165.76544,0,"Transplant","Samfund"
"3","Dead",2,316.793574500802,356475.154013369,0,112929038.260619,0,0.942595909133754,106446449.486869,0,"Transplant","Samfund"
"4","Dead",3,424.178111454525,356475.154013369,0,151208957.609852,0,0.915141659353159,138377616.376141,0,"Transplant","Samfund"
"5","Dead",4,508.640449302216,356475.154013369,0,181317682.502437,0,0.888487047915689,161098412.461504,0,"Transplant","Samfund"
"6","Dead",5,575.419038143543,356475.154013369,0,205122590.244444,0,0.862608784384164,176940548.220491,0,"Transplant","Samfund"
"7","HD",0,783.039527,568324.826610664,0.44,445020803.411571,344.53739188,1,445020803.411571,344.53739188,"Transplant","Samfund"
"8","HD",1,613.325303848345,568324.826610664,0.44,348567996.965544,269.863133693272,0.970873786407767,338415531.034508,262.003042420652,"Transplant","Samfund"
"9","HD",2,485.253551781222,568324.826610664,0.44,275781640.678272,213.511562783738,0.942595909133754,259950646.317534,201.255125632706,"Transplant","Samfund"
"10","HD",3,381.207984900503,568324.826610664,0.44,216649961.921179,167.731513356221,0.915141659353159,198265405.651346,153.498095458629,"Transplant","Samfund"
"11","HD",4,298.556166337251,568324.826610664,0.44,169676881.467163,131.36471318839,0.888487047915689,150755711.5143,116.715846221044,"Transplant","Samfund"
"12","HD",5,233.762851569351,568324.826610664,0.44,132853232.086166,102.855654690514,0.862608784384164,114600365.031355,88.7241912596219,"Transplant","Samfund"
"13","PD",0,216.960473,676707.72306754,0.65,146818827.679486,141.02430745,1,146818827.679486,141.02430745,"Transplant","Samfund"
"14","PD",1,137.687506838437,676707.72306754,0.65,93174199.2474851,89.4968794449841,0.970873786407767,90460387.6189176,86.8901742184312,"Transplant","Samfund"
"15","PD",2,93.7838208561228,676707.72306754,0.65,63464235.8721209,60.9594835564798,0.942595909133754,59821129.1093609,57.4601598232443,"Transplant","Samfund"
"16","PD",3,66.412132926297,676707.72306754,0.65,44941603.2566133,43.1678864020931,0.915141659353159,41127933.3782484,39.5047311927801,"Transplant","Samfund"
"17","PD",4,48.5305028652696,676707.72306754,0.65,32840966.0932793,31.5448268624252,0.888487047915689,29178773.014917,28.0271700960077,"Transplant","Samfund"
"18","PD",5,36.3510022376461,676707.72306754,0.65,24599003.9554606,23.62815145447,0.862608784384164,21219316.8990811,20.3818510033853,"Transplant","Samfund"
"19","Transplantation",0,0,1224502.84112775,0.86,0,0,1,0,0,"Transplant","Samfund"
"20","Transplantation",1,69.2543523480911,1224502.84112775,0.86,84802151.2106996,59.5587430193584,0.970873786407767,82332185.6414559,57.8240223488916,"Transplant","Samfund"
"21","Transplantation",2,52.112633832363,1224502.84112775,0.86,63812068.1863784,44.8168650958321,0.942595909133754,60148994.4258445,42.2441936995307,"Transplant","Samfund"
"22","Transplantation",3,39.6026973774027,1224502.84112775,0.86,48493615.454952,34.0583197445663,0.915141659353159,44378527.7154788,31.1681872458229,"Transplant","Samfund"
"23","Transplantation",4,30.3799018200528,1224502.84112775,0.86,37200276.0918367,26.1267155652454,0.888487047915689,33051963.4864845,23.2132483842978,"Transplant","Samfund"
"24","Transplantation",5,23.4900630467686,1224502.84112775,0.86,28763648.939038,20.201454220221,0.862608784384164,24811776.2457564,17.4259518676971,"Transplant","Samfund"
"25","Transplanteret",0,0,200253.545264452,0.86,0,0,1,0,0,"Transplant","Samfund"
"26","Transplanteret",1,0,200253.545264452,0.86,0,0,0.970873786407767,0,0,"Transplant","Samfund"
"27","Transplanteret",2,52.0564190294896,200253.545264452,0.86,10424482.4644272,44.7685203653611,0.942595909133754,9826074.52580561,42.1986241543605,"Transplant","Samfund"
"28","Transplanteret",3,88.5990733412727,200253.545264452,0.86,17742278.543735,76.1952030734945,0.915141659353159,16236698.2272196,69.7294045754287,"Transplant","Samfund"
"29","Transplanteret",4,113.892979675211,200253.545264452,0.86,22807472.9606931,97.9479625206812,0.888487047915689,20264144.3212631,87.0254960693565,"Transplant","Samfund"
"30","Transplanteret",5,130.977045002692,200253.545264452,0.86,26228617.6100506,112.640258702315,0.862608784384164,22625035.9526829,97.1644766319215,"Transplant","Samfund"
"31","Dead",0,0,356475.154013369,0,0,0,1,0,0,"Dialyse","Samfund"
"32","Dead",1,179.896641694889,356475.154013369,0,64128683.0546734,0,0.970873786407767,62260857.3346344,0,"Dialyse","Samfund"
"33","Dead",2,327.83701105183,356475.154013369,0,116865749.005984,0,0.942595909133754,110157176.930892,0,"Dialyse","Samfund"
"34","Dead",3,449.332192522574,356475.154013369,0,160175762.532649,0,0.915141659353159,146583513.112286,0,"Dialyse","Samfund"
"35","Dead",4,549.011100422387,356475.154013369,0,195708816.578119,0,0.888487047915689,173884748.692566,0,"Dialyse","Samfund"
"36","Dead",5,630.732699184323,356475.154013369,0,224840536.083,0,0.862608784384164,193949421.51084,0,"Dialyse","Samfund"
"37","HD",0,789,568324.826610664,0.44,448408288.195814,347.16,1,448408288.195814,347.16,"Dialyse","Samfund"
"38","HD",1,661.854207085682,568324.826610664,0.44,376148177.483509,291.2158511177,0.970873786407767,365192405.323795,282.733836036602,"Dialyse","Samfund"
"39","HD",2,551.271048528754,568324.826610664,0.44,313301023.070583,242.559261352652,0.942595909133754,295316262.673752,228.635367473515,"Dialyse","Samfund"
"40","HD",3,456.877830267872,568324.826610664,0.44,259655013.669245,201.026245317864,0.915141659353159,237621120.06864,183.967491713725,"Dialyse","Samfund"
"41","HD",4,377.306620871409,568324.826610664,0.44,214432719.885799,166.01491318342,0.888487047915689,190520694.267865,147.502100124316,"Dialyse","Samfund"
"42","HD",5,310.803573687462,568324.826610664,0.44,176637387.125902,136.753572422483,0.862608784384164,152368961.785469,117.96483286755,"Dialyse","Samfund"
"43","PD",0,211,676707.72306754,0.65,142785329.567251,137.15,1,142785329.567251,137.15,"Dialyse","Samfund"
"44","PD",1,158.249151219429,676707.72306754,0.65,107088422.799071,102.861948292629,0.970873786407767,103969342.52337,99.8659692161447,"Dialyse","Samfund"
"45","PD",2,120.891940419416,676707.72306754,0.65,81808509.7384399,78.5797612726205,0.942595909133754,77112366.6117823,74.0689615162791,"Dialyse","Samfund"
"46","PD",3,93.7899772095537,676707.72306754,0.65,63468401.9240336,60.9634851862099,0.915141659353159,58082578.6532534,55.7902249932599,"Dialyse","Samfund"
"47","PD",4,73.6822787062048,676707.72306754,0.65,49861367.0537037,47.8934811590331,0.888487047915689,44301178.8185858,42.552737689395,"Dialyse","Samfund"
"48","PD",5,58.4637271282144,676707.72306754,0.65,39562855.6669759,38.0014226333394,0.862608784384164,34127266.8336563,32.7803609826137,"Dialyse","Samfund"
"49","Dead",0,0,NA,0,NA,0,1,NA,0,"Transplant","Sygehus"
"50","Dead",1,179.732836965127,NA,0,NA,0,0.970873786407767,NA,0,"Transplant","Sygehus"
"51","Dead",4,508.640449302216,NA,0,NA,0,0.888487047915689,NA,0,"Transplant","Sygehus"
"52","Dead",5,575.419038143543,NA,0,NA,0,0.862608784384164,NA,0,"Transplant","Sygehus"
"53","Dead",2,316.793574500802,NA,0,NA,0,0.942595909133754,NA,0,"Transplant","Sygehus"
"54","Dead",3,424.178111454525,NA,0,NA,0,0.915141659353159,NA,0,"Transplant","Sygehus"
"55","HD",0,783.039527,291883.3365,0.44,228556189.752142,344.53739188,1,228556189.752142,344.53739188,"Transplant","Sygehus"
"56","HD",1,613.325303848345,291883.3365,0.44,179019436.047131,269.863133693272,0.970873786407767,173805277.715661,262.003042420652,"Transplant","Sygehus"
"57","HD",2,485.253551781222,291883.3365,0.44,141637425.742379,213.511562783738,0.942595909133754,133506858.085002,201.255125632706,"Transplant","Sygehus"
"58","HD",3,381.207984900503,291883.3365,0.44,111268258.5332,167.731513356221,0.915141659353159,101826218.747409,153.498095458629,"Transplant","Sygehus"
"59","HD",4,298.556166337251,291883.3365,0.44,87143569.9631657,131.36471318839,0.888487047915689,77425933.2214074,116.715846221044,"Transplant","Sygehus"
"60","HD",5,233.762851569351,291883.3365,0.44,68231481.0658164,102.855654690514,0.862608784384164,58857074.938915,88.7241912596219,"Transplant","Sygehus"
"61","PD",0,216.960473,445469.6892,0.65,96649314.475995,141.02430745,1,96649314.475995,141.02430745,"Transplant","Sygehus"
"62","PD",1,137.687506838437,445469.6892,0.65,61335610.8780414,89.4968794449841,0.970873786407767,59549136.7747975,86.8901742184312,"Transplant","Sygehus"
"63","PD",2,93.7838208561228,445469.6892,0.65,41777849.5287655,60.9594835564798,0.942595909133754,39379630.0582199,57.4601598232443,"Transplant","Sygehus"
"64","PD",3,66.412132926297,445469.6892,0.65,29584592.2137866,43.1678864020931,0.915141659353159,27074092.8098113,39.5047311927801,"Transplant","Sygehus"
"65","PD",4,48.5305028652696,445469.6892,0.65,21618868.0281114,31.5448268624252,0.888487047915689,19208084.2335755,28.0271700960077,"Transplant","Sygehus"
"66","PD",5,36.3510022376461,445469.6892,0.65,16193269.6689127,23.62815145447,0.862608784384164,13968456.6643058,20.3818510033853,"Transplant","Sygehus"
"67","Transplantation",0,0,969064.295863295,0.86,0,0,1,0,0,"Transplant","Sygehus"
"68","Transplantation",1,69.2543523480911,969064.295863295,0.86,67111920.1936714,59.5587430193584,0.970873786407767,65157204.0715257,57.8240223488916,"Transplant","Sygehus"
"69","Transplantation",2,52.112633832363,969064.295863295,0.86,50500492.8103405,44.8168650958321,0.942595909133754,47601557.9322656,42.2441936995307,"Transplant","Sygehus"
"70","Transplantation",3,39.6026973774027,969064.295863295,0.86,38377560.0483199,34.0583197445663,0.915141659353159,35120903.984545,31.1681872458229,"Transplant","Sygehus"
"71","Transplantation",4,30.3799018200528,969064.295863295,0.86,29440078.1656455,26.1267155652454,0.888487047915689,26157128.1398015,23.2132483842978,"Transplant","Sygehus"
"72","Transplantation",5,23.4900630467686,969064.295863295,0.86,22763381.4062012,20.201454220221,0.862608784384164,19635892.7632763,17.4259518676971,"Transplant","Sygehus"
"73","Transplanteret",2,52.0564190294896,NA,0.86,NA,44.7685203653611,0.942595909133754,NA,42.1986241543605,"Transplant","Sygehus"
"74","Transplanteret",3,88.5990733412727,NA,0.86,NA,76.1952030734945,0.915141659353159,NA,69.7294045754287,"Transplant","Sygehus"
"75","Transplanteret",0,0,NA,0.86,NA,0,1,NA,0,"Transplant","Sygehus"
"76","Transplanteret",1,0,NA,0.86,NA,0,0.970873786407767,NA,0,"Transplant","Sygehus"
"77","Transplanteret",4,113.892979675211,NA,0.86,NA,97.9479625206812,0.888487047915689,NA,87.0254960693565,"Transplant","Sygehus"
"78","Transplanteret",5,130.977045002692,NA,0.86,NA,112.640258702315,0.862608784384164,NA,97.1644766319215,"Transplant","Sygehus"
"79","Dead",0,0,NA,0,NA,0,1,NA,0,"Dialyse","Sygehus"
"80","Dead",1,179.896641694889,NA,0,NA,0,0.970873786407767,NA,0,"Dialyse","Sygehus"
"81","Dead",2,327.83701105183,NA,0,NA,0,0.942595909133754,NA,0,"Dialyse","Sygehus"
"82","Dead",3,449.332192522574,NA,0,NA,0,0.915141659353159,NA,0,"Dialyse","Sygehus"
"83","Dead",4,549.011100422387,NA,0,NA,0,0.888487047915689,NA,0,"Dialyse","Sygehus"
"84","Dead",5,630.732699184323,NA,0,NA,0,0.862608784384164,NA,0,"Dialyse","Sygehus"
"85","HD",2,551.271048528754,291883.3365,0.44,160906832.960426,242.559261352652,0.942595909133754,151670122.500166,228.635367473515,"Dialyse","Sygehus"
"86","HD",3,456.877830267872,291883.3365,0.44,133355025.471467,201.026245317864,0.915141659353159,122038739.293041,183.967491713725,"Dialyse","Sygehus"
"87","HD",0,789,291883.3365,0.44,230295952.4985,347.16,1,230295952.4985,347.16,"Dialyse","Sygehus"
"88","HD",1,661.854207085682,291883.3365,0.44,193184214.240731,291.2158511177,0.970873786407767,187557489.554107,282.733836036602,"Dialyse","Sygehus"
"89","HD",4,377.306620871409,291883.3365,0.44,110129515.383487,166.01491318342,0.888487047915689,97848648.01146,147.502100124316,"Dialyse","Sygehus"
"90","HD",5,310.803573687462,291883.3365,0.44,90718384.0840201,136.753572422483,0.862608784384164,78254475.0160123,117.96483286755,"Dialyse","Sygehus"
"91","PD",0,211,445469.6892,0.65,93994104.4212,137.15,1,93994104.4212,137.15,"Dialyse","Sygehus"
"92","PD",1,158.249151219429,445469.6892,0.65,70495200.209883,102.861948292629,0.970873786407767,68441941.9513427,99.8659692161447,"Dialyse","Sygehus"
"93","PD",4,73.6822787062048,445469.6892,0.65,32823221.7948008,47.8934811590331,0.888487047915689,29163007.4355445,42.552737689395,"Dialyse","Sygehus"
"94","PD",5,58.4637271282144,445469.6892,0.65,26043818.3532793,38.0014226333394,0.862608784384164,22465626.4904442,32.7803609826137,"Dialyse","Sygehus"
"95","PD",2,120.891940419416,445469.6892,0.65,53853695.1254223,78.5797612726205,0.942595909133754,50762272.7169594,74.0689615162791,"Dialyse","Sygehus"
"96","PD",3,93.7899772095537,445469.6892,0.65,41780591.997615,60.9634851862099,0.915141659353159,38235160.2894547,55.7902249932599,"Dialyse","Sygehus"
